State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Kadiri,Groundnut,Kadiri-3,FAQ,29/10/2024,6100,6700,6500
"Andhra Pradesh",Anantapur,Kadiri,Maize,Yellow,FAQ,29/10/2024,3000,3200,3100
"Andhra Pradesh",Chittor,Kalikiri,Tomato,Local,FAQ,29/10/2024,2700,3300,3000
"Andhra Pradesh",Chittor,Palamaner,Tomato,Hybrid,FAQ,29/10/2024,3000,3500,3300
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Amruthapani,Large,29/10/2024,1800,2400,2200
"Andhra Pradesh","East Godavari",Ravulapelem,Banana,Karpura,Large,29/10/2024,1200,2600,2400
"Andhra Pradesh","East Godavari",Sampara,Paddy(Dhan)(Common),"Swarna Masuri (New)",FAQ,29/10/2024,2300,2310,2300
"Andhra Pradesh",Krishna,Tiruvuru,Cotton,Bunny,FAQ,29/10/2024,7300,7500,7400
"Andhra Pradesh",Kurnool,Adoni,Cotton,Bunny,FAQ,29/10/2024,4011,7226,6989
"Andhra Pradesh",Kurnool,Pattikonda,Onion,Local,FAQ,29/10/2024,3000,3500,3200
"Andhra Pradesh",Visakhapatnam,Anakapally,Gur(Jaggery),"NO 2",FAQ,29/10/2024,3300,4310,3805
Assam,Barpeta,"Barpeta Road","Bitter gourd","Bitter Gourd",Local,29/10/2024,3000,3200,3200
Assam,Barpeta,"Barpeta Road",Pumpkin,Pumpkin,Local,29/10/2024,800,1800,1000
Assam,Cachar,Fatakbazar,Pumpkin,Pumpkin,Local,29/10/2024,1500,1600,1500
Assam,Cachar,Fatakbazar,Tomato,Tomato,Local,29/10/2024,4200,4400,4300
Assam,Cachar,Kashipur,Cauliflower,Cauliflower,Local,29/10/2024,5600,5700,5600
Assam,Darrang,Kharupetia,Capsicum,Capsicum,Local,29/10/2024,2600,2800,2800
Assam,Dhubri,Bilasipara,"Green Chilli","Green Chilly",Local,29/10/2024,6500,7000,6500
Assam,Dhubri,Bilasipara,Lemon,Lemon,Local,29/10/2024,1334,1600.8,1467.4
Assam,Goalpara,Simlitola,Pumpkin,Pumpkin,Local,29/10/2024,1500,1800,1800
Assam,Jorhat,Jorhat,Brinjal,Brinjal,Local,29/10/2024,2700,3500,2700
Assam,Jorhat,Jorhat,Tomato,Tomato,Local,29/10/2024,3200,3500,3500
Assam,Kamrup,"Brahmaputra Private Market",Ginger(Green),"Green Ginger",Local,29/10/2024,7000,8000,7500
Assam,Kamrup,Pamohi(Garchuk),"Green Chilli","Green Chilly",Local,29/10/2024,8500,9500,9000
Assam,Kamrup,Sontoli,Lemon,Lemon,Local,29/10/2024,933.8,1067.2,1000.5
Assam,Kamrup,Sontoli,Tomato,Tomato,Local,29/10/2024,3000,3200,3000
Assam,"Karbi Anglong",Diphu,Cabbage,Cabbage,Local,29/10/2024,2500,2800,2500
Assam,"Karbi Anglong",Diphu,Capsicum,Capsicum,Local,29/10/2024,2500,3000,3000
Assam,"Karbi Anglong",Diphu,Cauliflower,Cauliflower,Local,29/10/2024,6000,6500,6500
Assam,Lakhimpur,Baginadi,"Bottle gourd","Bottle Gourd",Local,29/10/2024,1666.75,1800.09,1800.09
Assam,Lakhimpur,Baginadi,Cabbage,Cabbage,Local,29/10/2024,2500,2700,2500
Assam,Lakhimpur,Baginadi,"French Beans (Frasbean)","French Beans (Frasbean)",Local,29/10/2024,5000,5200,5200
Assam,Lakhimpur,Baginadi,Lemon,Lemon,Local,29/10/2024,2001,2134.4,2134.4
Assam,MORIGAON,Boralimari,Brinjal,Brinjal,Local,29/10/2024,2800,3000,2800
Assam,MORIGAON,Boralimari,Cabbage,Cabbage,Local,29/10/2024,2000,2200,2000
Assam,MORIGAON,Boralimari,"Green Chilli","Green Chilly",Local,29/10/2024,8000,8500,8000
Assam,MORIGAON,Boralimari,Pumpkin,Pumpkin,Local,29/10/2024,1500,1700,1600
Assam,MORIGAON,Boralimari,Tomato,Tomato,Local,29/10/2024,2800,3000,2800
Assam,Nalbari,Mukalmua,Capsicum,Capsicum,Local,29/10/2024,1800,2600,2000
Assam,Nalbari,Mukalmua,Ginger(Green),"Green Ginger",Local,29/10/2024,5000,5500,5500
Assam,Nalbari,Nalbari,Banana,Other,Local,29/10/2024,1700,4200,4000
Assam,Sibsagar,Sibsagar,Ginger(Green),"Green Ginger",Local,29/10/2024,11000,12500,12500
Assam,Sibsagar,Sibsagar,"Green Chilli","Green Chilly",Local,29/10/2024,9500,12000,11500
